Ref,Val,Package,PosX,PosY,Rot,Side
"BOOTSEL1","TL1016AAF220QG","TL1016AAF220QG",134.896000,-228.817000,180.000000,bottom
"C1","0.1uF","C_0805_2012Metric",139.621500,-209.804000,180.000000,bottom
"C2","0.1uF","C_0805_2012Metric",148.024000,-209.412000,90.000000,bottom
"C3","1uF","C_0805_2012Metric",139.642000,-212.090000,180.000000,bottom
"C4","27pF","C_0805_2012Metric",164.338000,-222.885000,180.000000,bottom
"C5","27pF","C_0805_2012Metric",156.718000,-223.012000,0.000000,bottom
"C6","0.1uF","C_0805_2012Metric",139.720500,-219.837000,180.000000,bottom
"C7","0.1uF","C_0805_2012Metric",154.764500,-219.964000,0.000000,bottom
"C9","10uF","C_0805_2012Metric",142.182000,-196.966000,90.000000,bottom
"C10","0.1uF","C_0805_2012Metric",139.720500,-214.376000,180.000000,bottom
"C11","10uF","C_0805_2012Metric",139.896000,-197.044500,90.000000,bottom
"C12","1uF","C_0805_2012Metric",144.214000,-210.506500,90.000000,bottom
"C13","0.1uF","C_0805_2012Metric",150.564000,-209.412000,90.000000,bottom
"C14","0.1uF","C_0805_2012Metric",145.484000,-225.160000,270.000000,bottom
"C15","0.1uF","C_0805_2012Metric",150.564000,-205.680500,270.000000,bottom
"C16","0.1uF","C_0805_2012Metric",154.628000,-214.746000,0.000000,bottom
"C17","0.1uF","C_0805_2012Metric",147.516000,-225.160000,270.000000,bottom
"D1","D_Small","D_SOD-123",139.762500,-178.593750,180.000000,bottom
"D2","D_Small","D_SOD-123",139.762500,-176.212500,180.000000,bottom
"D3","D_Small","D_SOD-123",139.762500,-173.831250,180.000000,bottom
"D4","D_Small","D_SOD-123",139.762500,-171.450000,180.000000,bottom
"D5","D_Small","D_SOD-123",134.937500,-193.675000,180.000000,bottom
"D6","D_Small","D_SOD-123",134.937500,-191.293750,180.000000,bottom
"D7","D_Small","D_SOD-123",134.937500,-188.912500,180.000000,bottom
"D8","D_Small","D_SOD-123",134.937500,-186.531250,180.000000,bottom
"D9","D_Small","D_SOD-123",108.743750,-207.962500,90.000000,bottom
"D10","D_Small","D_SOD-123",111.125000,-207.962500,90.000000,bottom
"D11","D_Small","D_SOD-123",113.506250,-207.962500,90.000000,bottom
"D12","D_Small","D_SOD-123",115.887500,-207.962500,90.000000,bottom
"D13","D_Small","D_SOD-123",103.981250,-207.962500,90.000000,bottom
"D14","D_Small","D_SOD-123",101.600000,-207.962500,90.000000,bottom
"D15","D_Small","D_SOD-123",139.762500,-180.975000,180.000000,bottom
"D16","D_Small","D_SOD-123",134.937500,-196.056250,180.000000,bottom
"D17","D_Small","D_SOD-123",106.362500,-207.962500,90.000000,bottom
"D18","D_Small","D_SOD-123",99.218750,-207.962500,90.000000,bottom
"D19","D_Small","D_SOD-123",96.837500,-207.962500,90.000000,bottom
"D20","D_Small","D_SOD-123",139.762500,-169.068750,180.000000,bottom
"D21","D_Small","D_SOD-123",134.937500,-184.150000,180.000000,bottom
"D22","D_Small","D_SOD-123",118.268750,-207.962500,90.000000,bottom
"D23","D_Small","D_SOD-123",154.050000,-169.068750,0.000000,bottom
"D24","D_Small","D_SOD-123",156.306250,-184.150000,0.000000,bottom
"D25","D_Small","D_SOD-123",177.800000,-207.962500,90.000000,bottom
"D26","D_Small","D_SOD-123",154.050000,-180.975000,0.000000,bottom
"D27","D_Small","D_SOD-123",156.306250,-196.056250,0.000000,bottom
"D28","D_Small","D_SOD-123",189.706250,-207.962500,90.000000,bottom
"D29","D_Small","D_SOD-123",196.850000,-207.962500,90.000000,bottom
"D30","D_Small","D_SOD-123",199.231250,-207.962500,90.000000,bottom
"D31","D_Small","D_SOD-123",154.050000,-178.593750,0.000000,bottom
"D32","D_Small","D_SOD-123",154.050000,-176.212500,0.000000,bottom
"D33","D_Small","D_SOD-123",154.050000,-173.831250,0.000000,bottom
"D34","D_Small","D_SOD-123",154.050000,-171.450000,0.000000,bottom
"D35","D_Small","D_SOD-123",156.306250,-193.675000,0.000000,bottom
"D36","D_Small","D_SOD-123",156.306250,-191.293750,0.000000,bottom
"D37","D_Small","D_SOD-123",156.306250,-188.912500,0.000000,bottom
"D38","D_Small","D_SOD-123",156.306250,-186.531250,0.000000,bottom
"D39","D_Small","D_SOD-123",187.325000,-207.962500,90.000000,bottom
"D40","D_Small","D_SOD-123",184.943750,-207.962500,90.000000,bottom
"D41","D_Small","D_SOD-123",182.562500,-207.962500,90.000000,bottom
"D42","D_Small","D_SOD-123",180.181250,-207.962500,90.000000,bottom
"D43","D_Small","D_SOD-123",192.087500,-207.962500,90.000000,bottom
"D44","D_Small","D_SOD-123",194.468750,-207.962500,90.000000,bottom
"F1","Polyfuse","Fuse_1206_3216Metric",143.002000,-164.976000,90.000000,bottom
"IC1","RP2040","QFN40P700X700X90-57N-D",147.008000,-217.540000,180.000000,bottom
"IC2","W25Q128JVSIM","SOIC127P790X216-8N",161.276000,-208.015000,180.000000,bottom
"J32","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Palconn_UTC16-G",147.320000,-156.972000,0.000000,bottom
"R1","27.4","R_0805_2012Metric",145.542000,-189.054500,90.000000,bottom
"R2","27.4","R_0805_2012Metric",147.574000,-189.054500,90.000000,bottom
"R3","10k","R_0805_2012Metric",163.370500,-203.073000,180.000000,bottom
"R4","4.7k","R_0805_2012Metric",171.323000,-225.219500,270.000000,bottom
"R5","4.7k","R_0805_2012Metric",173.355000,-225.219500,90.000000,bottom
"R6","1k","R_0805_2012Metric",150.622000,-225.171000,270.000000,bottom
"R7","DNF","R_0805_2012Metric",159.717500,-203.073000,180.000000,bottom
"R8","5.1k","R_0805_2012Metric",145.796000,-165.021500,270.000000,bottom
"R9","5.1k","R_0805_2012Metric",150.114000,-165.021500,270.000000,bottom
"RUN1","TL1016AAF220QG","TL1016AAF220QG",126.978000,-228.817000,180.000000,bottom
"U1","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",140.990000,-204.060000,270.000000,bottom
"Y1","ABLS-12.000MHZ-B4-T","HC%2f49US-(AT49)_1",160.528000,-226.568000,0.000000,bottom
